chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,Lang
0.52279234,5004.068266,4428.112912,9521.245504,0.147442202,English
0.48956546,3595.07108,3606.441893,6862.539979,0.097207531,English
0.50348896,3963.190792,3713.713682,7265.77492,0.116593025,English
0.4888843,3842.897157,3691.993878,7178.621402,0.110961654,English
0.48394397,4097.252551,3900.369488,7683.452159,0.116070387,English
0.48652864,3712.001954,3581.853024,6753.698028,0.105685301,English
0.5337483,4283.628216,4005.990899,8031.061953,0.123078928,English
0.46613517,3826.460577,3358.38119,6670.492404,0.116735658,English
0.5388211,4399.970897,4205.688253,8388.31715,0.122061765,English
0.48350915,3851.294096,3607.501619,7081.723081,0.110826309,English
0.5331381,5432.393736,4633.739441,10137.29508,0.157114498,English
0.4397926,3481.284545,3271.600498,6217.533982,0.099177314,English
0.49260294,3974.358593,3821.518748,7490.305171,0.111166753,English
0.47316608,3825.742502,3630.395163,7074.504573,0.104165343,English
0.48105025,3330.67664,3472.158502,6151.619136,0.091253415,English
0.56649464,5888.166383,4974.71579,11281.38516,0.174093385,English
0.47831872,3942.926622,3787.747295,7413.396189,0.110292219,English
0.48475185,3228.986731,3439.20268,6011.79371,0.089751091,English
0.55405974,5383.382155,5003.367742,10803.64872,0.149010994,English
0.49820083,3950.313755,3930.582046,7477.561967,0.112310934,English
0.49395388,3413.528098,3519.769057,6477.695229,0.092753656,English
0.519243,4361.318399,3969.737283,8168.830039,0.122897889,English
0.5295218,4507.495044,3994.718765,8312.900195,0.133654214,English
0.47771418,3631.344787,3549.775047,6600.279851,0.100941998,English
0.52830166,4095.384433,3772.222996,7529.784115,0.121573702,English
0.5260473,4906.394284,4477.154695,9373.511029,0.138539752,English
0.5353822,5501.774419,4674.077305,10394.33396,0.165295533,English
0.46952823,3091.389519,3199.758815,5366.687767,0.085036939,English
0.5196167,4477.169145,4063.031448,8259.195096,0.118017266,English
0.4568356,3074.233969,3230.896047,5643.690032,0.083751166,English
0.51938134,4653.977943,4101.546948,8652.035581,0.137884795,English
0.5500076,5728.403146,5060.032782,11075.93923,0.156888418,English
0.4871951,3253.097038,3425.429373,6014.792111,0.08833518,English
0.50233364,4125.161959,3830.961726,7696.395256,0.122463853,English
0.4794975,3479.306125,3470.135131,6334.871402,0.098837911,English
0.5314546,4942.34,4380.731607,9331.855106,0.138175823,English
0.47512838,3404.374208,3378.206671,6230.327159,0.094159157,English
0.45668972,3492.282561,3381.79616,6337.969749,0.097464686,English
0.46345362,3800.454604,3488.353969,6835.754264,0.111887202,English
0.45546827,3049.952316,3162.513103,5597.114872,0.080381088,English
0.5315684,4681.323945,4418.418368,9057.26761,0.13614251,English
0.48673245,3644.279212,3531.761145,6715.868204,0.100667144,English
0.514328,3838.357325,3833.484554,7337.371324,0.108226103,English
0.4929994,4031.733977,3759.133297,7377.665245,0.120191106,English
0.49254522,3479.168002,3423.479906,6369.902719,0.097756197,English
0.5337595,5155.787128,4316.743261,9346.851145,0.157212896,English
0.47627783,3090.456235,3250.502463,5680.370469,0.081614805,English
0.4816963,3596.493418,3537.611181,6536.164046,0.102324594,English
0.48928088,2847.929466,3190.152999,5319.11314,0.077352495,English
0.46702832,3306.923676,3058.811626,5692.414046,0.097079474,English
0.50430465,3708.483888,3429.766633,6574.193763,0.11026515,English
