chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,Lang
0.50663984,2331.310182,2603.48332,4471.979485,0.059080893,Hindi
0.37657765,4772.657426,3992.093819,9199.74347,0.133124833,Hindi
0.49210674,1959.758483,2456.642883,3860.165469,0.041740649,Hindi
0.45978746,2450.822385,2508.227803,4557.944597,0.062518126,Hindi
0.5053302,2263.930575,2588.02883,4193.553663,0.054561161,Hindi
0.38494262,4022.773661,3772.836491,8218.432147,0.10475358,Hindi
0.48358622,2033.662245,2499.487406,4035.452164,0.042668531,Hindi
0.5447589,1865.972266,2453.797426,3733.337794,0.036952539,Hindi
0.38559872,3555.322406,3642.797057,7054.946822,0.08509462,Hindi
0.4992103,2161.752941,2608.798899,4221.612079,0.049256082,Hindi
0.45072854,1669.873472,2156.72719,3297.591285,0.038539862,Hindi
0.5149744,2165.874176,2764.869872,4367.942807,0.046239441,Hindi
0.35363194,3450.565606,3642.966879,7063.671039,0.083198106,Hindi
0.4199197,4311.272166,3941.590389,8417.073112,0.123501011,Hindi
0.49776646,2322.011371,2556.304208,4390.916261,0.054807009,Hindi
0.4466703,4978.512303,4089.054747,9739.85541,0.144973722,Hindi
0.37629664,3195.353721,3612.377749,6865.029443,0.069969553,Hindi
0.53957456,2126.669863,2889.845044,4427.946001,0.03822755,Hindi
0.42234716,4083.173589,3964.397906,8487.135305,0.103825114,Hindi
0.53218377,2272.42025,2654.536761,4573.873197,0.050404511,Hindi
0.41970953,4823.068003,4295.065674,9812.232334,0.124052713,Hindi
0.42585373,4992.602,4086.26349,9736.85091,0.149692184,Hindi
0.5508853,2162.041101,2698.84591,4129.706963,0.046269486,Hindi
0.39442512,4594.536449,3864.261021,8583.595423,0.140724329,Hindi
0.38593075,3294.556632,3637.038199,6740.66515,0.082472481,Hindi
0.53242743,1811.326087,2264.590916,3471.40993,0.041967094,Hindi
0.42846975,4959.405357,4001.90144,9672.711456,0.15257273,Hindi
0.3982324,4207.352031,3982.224734,8919.348903,0.110075532,Hindi
0.37433198,4455.847151,3918.908541,8536.218549,0.124913218,Hindi
0.48824787,1492.908305,2102.239159,2896.262714,0.033174895,Hindi
0.3960274,3752.403558,3754.237454,7626.020476,0.087628187,Hindi
0.473764,1932.952511,2413.633547,3878.084708,0.041080502,Hindi
0.5042608,2033.501019,2696.165299,4309.652262,0.036934095,Hindi
0.39812553,3984.665009,4116.707887,8370.499866,0.103902486,Hindi
0.3771953,4111.737273,3887.92071,8169.951151,0.109574704,Hindi
0.45757103,6791.746224,4329.040783,11673.60618,0.261774521,Hindi
0.37572187,4579.822475,3952.496187,9012.747591,0.126599722,Hindi
0.53487796,1919.169512,2543.774921,3889.416079,0.036938307,Hindi
0.4254993,4369.125524,4185.68787,9494.686167,0.108411972,Hindi
0.40156904,4291.401591,4126.309432,8602.412047,0.110710746,Hindi
0.36470276,3500.204737,3535.86188,7019.674336,0.091793476,Hindi
0.58472526,2261.313975,3117.714806,4699.434228,0.04021353,Hindi
0.39386427,3884.479381,4019.365201,8315.015325,0.093565723,Hindi
0.3830589,3320.85613,3825.94843,6963.036381,0.071452517,Hindi
0.51905304,1996.014419,2532.471835,3975.94858,0.037901274,Hindi
0.36612502,4439.248859,3830.666558,8404.5269,0.12453263,Hindi
0.520217,2242.677926,2607.824224,4365.7189,0.053821341,Hindi
0.5612567,2068.772208,2893.717264,4385.696091,0.034708943,Hindi
0.5132774,2107.275052,2568.89663,4138.591292,0.04235413,Hindi
0.45478228,1596.192475,2206.322252,3121.435235,0.037449818,Hindi
0.48950496,1835.307473,2376.628352,3582.555444,0.037598789,Hindi
0.39663064,4360.927772,4250.789693,9100.446429,0.096519356,Hindi
0.48021775,2078.726983,2492.973487,3988.338915,0.049724251,Hindi
0.3911595,4252.618989,3954.51015,8450.558181,0.118142537,Hindi
0.4061821,3624.124766,3650.285844,7497.390257,0.092480678,Hindi
0.39371687,3513.466786,3815.787407,7666.322252,0.079543178,Hindi
0.3784295,3193.07678,3544.637981,6586.338999,0.069995692,Hindi
0.46353948,5222.761287,4204.02131,9815.143201,0.160822278,Hindi
0.42783427,4700.1214,4146.059025,9556.527703,0.125055415,Hindi
0.50816214,2189.755924,2487.72191,4248.164677,0.0519661,Hindi
0.4170077,4784.469837,4342.789534,10112.50666,0.126338869,Hindi
0.45537236,1186.675942,1831.033912,2185.358672,0.02461063,Hindi
0.37891513,3834.803972,3602.107976,7447.905514,0.093334909,Hindi
0.3626745,2873.016065,3318.637096,5678.792545,0.066105769,Hindi
0.3987387,4026.685353,3736.540598,7869.579764,0.109036235,Hindi
0.5590132,2093.559467,2844.180818,4358.84233,0.036524348,Hindi
0.54275787,2196.243572,2868.761257,4551.649507,0.043623568,Hindi
0.45265788,5157.960591,4233.734693,9994.104146,0.175256716,Hindi
0.3930148,4103.491953,3931.998567,8698.624866,0.103358789,Hindi
0.37137023,4148.994139,3945.662478,8314.239829,0.100159345,Hindi
0.36054552,3600.319317,3703.611088,7329.182905,0.100056872,Hindi
0.68571675,2557.533345,3804.357271,5689.132498,0.032515661,Hindi
0.36918893,4600.912595,4108.519378,9320.095021,0.131016211,Hindi
0.49449027,2185.827972,2489.956292,4160.304774,0.053511547,Hindi
