chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,Lang
0.43760094,1608.193121,2217.993514,3157.515991,0.028575385,Marathi
0.43820965,2114.024573,2762.548914,3789.893944,0.053065587,Marathi
0.47558537,2498.914581,3237.958297,5174.493963,0.053514032,Marathi
0.40042347,2380.856036,3233.455004,4923.809206,0.043027661,Marathi
0.4439315,1956.624091,2308.911515,3662.250738,0.048676746,Marathi
0.4179169,1599.892926,2030.965308,2953.375937,0.033879609,Marathi
0.39338693,1384.621639,1419.558866,2967.317431,0.039416478,Marathi
0.41940358,1403.711437,1889.829269,2484.82476,0.0299382,Marathi
0.5372699,3331.282392,4038.053147,7717.833822,0.028874184,Marathi
0.4645222,1909.977259,2396.19054,3636.049497,0.045251949,Marathi
0.39562404,1828.380011,2500.113494,3435.374099,0.038833725,Marathi
0.47215682,2341.732998,3138.98874,4728.671329,0.047913024,Marathi
0.5964756,1401.99008,1941.209424,2423.357543,0.028998076,Marathi
0.3843167,2780.954102,3272.222418,5572.78293,0.060445577,Marathi
0.37009844,1384.709519,1891.796116,2569.779451,0.026664945,Marathi
0.40713906,2574.87373,3275.674654,5404.583015,0.051243353,Marathi
0.49609202,2901.231122,3708.711002,6624.882896,0.022690963,Marathi
0.41736773,1100.802627,1675.369013,2105.76151,0.019262538,Marathi
0.42992848,1749.864032,2404.689874,3583.988539,0.027497834,Marathi
0.48782513,1663.277501,2322.746647,3427.546172,0.026420512,Marathi
0.48976314,2540.111128,3403.699181,5718.45016,0.020021613,Marathi
0.4368653,1805.773227,2029.997914,3274.424518,0.042792049,Marathi
0.47238293,2056.656727,2969.228892,4436.964668,0.022205818,Marathi
0.44176173,2407.045051,3034.522139,4678.82874,0.055283909,Marathi
0.5522804,1965.014995,2379.639486,4116.904318,0.045519473,Marathi
0.46449846,1492.549967,2217.227877,3019.773822,0.024269774,Marathi
0.46387556,1843.542183,2536.746927,3776.348367,0.025814081,Marathi
0.5035829,2050.000328,2877.963862,4353.904577,0.031062843,Marathi
0.5389863,2751.180545,3599.592995,6080.007319,0.055790948,Marathi
0.48364633,2126.322945,2874.54142,4565.042827,0.027129408,Marathi
0.3336297,1538.528501,1830.448484,2664.179104,0.037776727,Marathi
0.43495074,1341.783924,2051.488107,2386.409261,0.027494312,Marathi
0.34924567,1985.51811,2398.866122,3724.34065,0.041745201,Marathi
0.4868355,2406.652917,2703.762706,4795.57986,0.066648683,Marathi
0.45047456,1979.529308,2867.50784,3904.577088,0.045491711,Marathi
0.3925462,2621.690456,3377.107254,5400.266335,0.047903919,Marathi
0.4724402,1819.638606,2519.765712,3740.062901,0.02855452,Marathi
0.46281177,1673.346397,2374.95145,3369.053172,0.025167827,Marathi
0.4113265,2111.528256,2947.540184,4259.106957,0.044444976,Marathi
0.35884467,1289.33822,1698.001106,2401.415284,0.02529966,Marathi
0.39670062,1367.060807,1787.340343,2427.914213,0.030807724,Marathi
0.4195061,2705.152968,3392.172838,5556.319315,0.055231552,Marathi
0.39036047,2558.309171,3296.454404,5178.258509,0.051406113,Marathi
0.39210165,2346.539008,3229.662894,4895.980913,0.041092662,Marathi
0.49402985,2983.267373,3192.123819,6268.909966,0.05071894,Marathi
0.49678597,3333.8132,3482.987522,6826.225235,0.091334651,Marathi
0.4022019,1259.735217,1833.264956,2287.679904,0.024984592,Marathi
0.39853314,2728.007047,3266.587263,5249.60507,0.061582348,Marathi
0.40892804,2234.574592,2665.988924,4288.01306,0.05924028,Marathi
0.33545572,2582.734507,3321.587195,5120.384889,0.04884406,Marathi
0.52157944,867.6031706,1375.315598,1608.545262,0.015025694,Marathi
0.41484118,1487.218943,1832.051139,2631.976044,0.031774876,Marathi
0.39766407,2774.847878,3400.982396,5578.655622,0.059420072,Marathi
0.35344824,1768.585862,2212.486098,3089.989668,0.039883855,Marathi
0.41196042,1629.129995,2098.261419,2978.911247,0.034699202,Marathi
0.5281612,1906.334214,2366.174378,3969.619914,0.042425054,Marathi
0.4595746,1466.994986,2129.581514,3062.166844,0.021252207,Marathi
0.3858946,2556.014209,3219.497696,5049.561113,0.053713203,Marathi
0.4570742,2606.892285,3357.189194,5841.006424,0.022243459,Marathi
0.5044875,2378.005814,3103.032866,5256.273421,0.028043236,Marathi
0.50144196,1987.64937,2838.952095,4056.786381,0.032104752,Marathi
0.4823913,1979.351464,2690.419932,4043.244781,0.032208788,Marathi
0.37552702,1620.20117,2044.306255,2941.330969,0.03340492,Marathi
0.45077208,2026.671473,2683.150289,4298.407516,0.028113131,Marathi
0.4577818,2341.339091,3234.03605,4739.362639,0.045448855,Marathi
0.44953614,2177.011494,2851.710181,4069.475624,0.050529746,Marathi
0.44776827,1936.280606,2706.036433,3316.464639,0.045879088,Marathi
0.4571621,2106.121384,3152.74226,4228.001967,0.039394441,Marathi
0.41621783,1982.311681,2563.54132,4183.46468,0.033804087,Marathi
0.5650859,1394.714123,1996.366011,2735.690965,0.02408403,Marathi
0.4382664,1570.626364,2033.018095,2968.084759,0.032851925,Marathi
0.44302106,1776.100388,2497.600356,3613.872601,0.02764359,Marathi
0.37651983,2467.178679,3207.78275,4830.581927,0.050498024,Marathi
0.4566508,2035.996433,2968.63563,4333.769463,0.035548234,Marathi
0.37574172,2767.600268,3283.417726,5515.547623,0.057420062,Marathi
0.43118823,2274.211568,3089.009022,4539.009367,0.045785147,Marathi
0.40820324,2029.282764,2807.127122,3829.457623,0.044189974,Marathi
0.42741677,1875.454916,2836.114601,3305.971193,0.03677177,Marathi
0.44501507,1407.536183,2083.568926,2813.302998,0.025443949,Marathi
0.5042729,1828.911759,2807.322378,3660.797575,0.020654609,Marathi
0.38939983,1501.672953,1865.604865,2724.047175,0.037072936,Marathi
0.46030468,2422.289162,3275.772714,5063.264177,0.04962144,Marathi
0.41211122,2281.28122,3140.354513,4450.747446,0.047656933,Marathi
0.35029832,1646.325586,2299.892554,3264.203773,0.02678183,Marathi
0.46950617,2520.791234,3238.417176,5748.009234,0.022468256,Marathi
0.44512537,1941.238593,2298.500243,3700.563393,0.040718804,Marathi
0.43465927,1397.719725,1841.480044,2578.626874,0.029424435,Marathi
0.41355667,2601.602748,3307.500006,5246.070531,0.049146817,Marathi
0.43969348,1485.222989,1914.336335,2888.409515,0.030947037,Marathi
0.32916233,2019.902161,1721.991774,3709.649358,0.066536946,Marathi
0.40323144,1342.986183,1833.152353,2263.952088,0.028705082,Marathi
0.42531797,3773.432125,3643.550733,7095.540016,0.103746696,Marathi
0.45979658,2188.13055,3302.985281,4746.247712,0.038081406,Marathi
0.5037216,1733.638599,2061.03751,3181.003465,0.044890642,Marathi
0.4371199,1718.106079,2076.693639,3227.298581,0.037747173,Marathi
0.4547713,1828.241563,2301.113263,3536.19161,0.036056908,Marathi
0.41432372,1399.140567,2042.328439,2693.8133,0.025976771,Marathi
0.43920332,1746.831762,2330.781766,3644.807281,0.027803801,Marathi
0.4153464,2504.855,3289.424526,5086.152617,0.048700648,Marathi
0.41157055,1913.529868,2107.365347,3495.657029,0.045376011,Marathi
0.46456823,1485.849567,2064.655595,2924.718951,0.02859948,Marathi
0.44099396,2138.446117,2963.810521,4042.346786,0.04628589,Marathi
0.44882348,2287.296754,2862.437288,4775.503065,0.032596157,Marathi
0.46089917,1678.959113,2138.1184,3073.524491,0.035432281,Marathi
0.43758604,2267.564958,3164.036902,4832.622992,0.043257849,Marathi
0.28782037,1703.643391,1549.226973,3083.361215,0.046810175,Marathi
0.48891544,2269.639051,2731.59345,4758.436339,0.036640443,Marathi
0.33402687,1846.307589,2182.838936,3377.315541,0.041267129,Marathi
0.43444118,1251.411642,1844.031158,2472.079095,0.020712744,Marathi
0.31724298,1718.883855,1484.26786,3306.845557,0.059324604,Marathi
0.48682582,1827.814072,2523.730973,3706.989427,0.023078869,Marathi
0.4607541,2118.84968,2787.363685,4589.102479,0.028483767,Marathi
0.4781207,2321.221285,3392.164306,5316.353004,0.039814748,Marathi
0.44238156,3345.778122,3552.955275,6743.676392,0.090878864,Marathi
0.47018504,2634.603102,3562.169982,5802.01084,0.027470264,Marathi
0.33266184,1599.252601,2123.926945,2922.770107,0.032527915,Marathi
0.43078348,2438.970094,3088.645699,5024.330794,0.053585185,Marathi
0.44191232,2245.138518,2915.010149,4308.698577,0.051280913,Marathi
0.40295485,2159.731214,3090.173111,4289.875847,0.040990585,Marathi
0.4505559,1329.429299,1761.718918,2397.902168,0.027577958,Marathi
0.38302276,1503.900409,1976.569064,2735.341151,0.032078725,Marathi
0.4300742,2838.338943,3476.763056,5929.561503,0.061218404,Marathi
0.423924,2112.889367,2881.124222,3997.931432,0.045431681,Marathi
0.40498394,2059.298577,2831.84562,3774.155987,0.044840306,Marathi
0.41490617,1986.576835,2923.354966,3954.178731,0.037259615,Marathi
0.40798146,2029.644396,2802.788526,3839.1844,0.044565623,Marathi
0.47735932,1869.118517,2726.762497,3970.171975,0.019485245,Marathi
0.43468553,1451.126116,2040.636031,2577.3754,0.031703925,Marathi
0.46944565,3070.575933,3173.130253,5879.148822,0.089285416,Marathi
0.5401583,1674.584671,1996.292329,3128.42947,0.040858789,Marathi
0.45528993,1984.31277,2969.601108,3662.602095,0.037113928,Marathi
0.57107407,934.9060521,1766.82782,1610.261643,0.012933702,Marathi
0.6375089,1836.715398,2253.678519,3814.515592,0.035841301,Marathi
0.39154276,1399.341016,1770.011375,2510.622993,0.029430708,Marathi
0.48088172,2278.88458,3080.888425,4885.29451,0.02357805,Marathi
0.4585768,2550.93654,3014.353577,4847.019105,0.06734656,Marathi
0.41630414,2822.47942,3395.889017,5803.87586,0.061889933,Marathi
0.48656493,2043.565885,2822.684282,4256.440712,0.023723986,Marathi
0.40741652,1668.887675,2093.686864,3129.282655,0.032767122,Marathi
0.40105113,1319.747329,1704.982925,2499.666844,0.026420284,Marathi
0.40725863,2425.978498,3520.801741,5264.290934,0.042589734,Marathi
0.43974686,2202.924799,3179.207485,4484.277002,0.043027936,Marathi
0.41733402,2677.974983,3352.454873,6110.591018,0.019613498,Marathi
