chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc,zero_crossing_rate,lang
0.52279234,5004.068266,4428.112912,9521.245504,-18.462978,0.147442202,English
0.48956546,3595.07108,3606.441893,6862.539979,-14.33861,0.097207531,English
0.50348896,3963.190792,3713.713682,7265.77492,-14.407497,0.116593025,English
0.4888843,3842.897157,3691.993878,7178.621402,-13.833568,0.110961654,English
0.48394397,4097.252551,3900.369488,7683.452159,-15.194976,0.116070387,English
0.48652864,3712.001954,3581.853024,6753.698028,-13.100869,0.105685301,English
0.5337483,4283.628216,4005.990899,8031.061953,-14.709016,0.123078928,English
0.46613517,3826.460577,3358.38119,6670.492404,-11.386997,0.116735658,English
0.5388211,4399.970897,4205.688253,8388.31715,-16.683779,0.122061765,English
0.48350915,3851.294096,3607.501619,7081.723081,-14.251141,0.110826309,English
0.45187747,4026.324371,3883.591248,6966.184701,-22.395481,0.104311034,English
0.51344407,5428.641307,4686.307619,9709.871402,-24.528217,0.138285623,English
0.4418988,4421.634045,4083.925491,7780.900187,-23.703028,0.126013001,English
0.45646632,4539.911225,4276.122634,7847.379032,-23.614925,0.115725806,English
0.4574665,5021.928712,4336.946628,9038.629398,-25.072119,0.14383787,English
0.50293887,4506.480781,4174.668236,7918.476812,-23.567863,0.120385794,English
0.5541766,6014.368801,4861.313729,10637.16701,-26.140715,0.162824987,English
0.491588,5455.954504,4505.38345,9517.823827,-26.148762,0.150849755,English
0.5721556,6500.83177,4868.442838,11224.02185,-27.068419,0.175730966,English
0.47702277,4520.719643,4047.534027,8149.503598,-18.219732,0.128104594,English
0.47725874,4209.658068,3605.198902,7016.208022,-16.951864,0.123586171,English
0.58450544,7395.837338,5444.61739,13239.26887,-27.85383,0.223798644,English
0.4771322,4225.158926,3765.29216,7293.710021,-17.239872,0.120467001,English
0.48331496,4027.258363,3764.3922,6853.045043,-17.439499,0.110144381,English
0.47600213,4453.842834,3938.165377,7584.554904,-17.692347,0.12856893,English
0.4790643,4460.911134,4118.464522,7953.258262,-18.374374,0.126729286,English
0.51961213,5195.236787,4385.187553,9278.629032,-20.421684,0.144227781,English
0.48674214,4501.869598,3961.776863,7891.091418,-17.524872,0.12472827,English
0.47909048,4273.395752,3859.982745,7411.147388,-16.487406,0.124683502,English
0.5014046,4716.219421,4336.044564,8408.715352,-17.993458,0.121321753,English
0.4289549,4081.620817,3716.598974,6954.191098,-23.919529,0.117919401,English
0.39475197,3810.525384,3511.701814,6490.83822,-23.84688,0.106529643,English
0.44599664,5044.233707,4146.123447,8855.277186,-24.792557,0.14144956,English
0.53337646,5725.704048,4666.348874,10095.47484,-25.884857,0.145355621,English
0.43569055,4584.991938,4041.097707,8182.985741,-24.08033,0.123309235,English
0.4455964,4457.042734,3816.036775,7651.201105,-23.170507,0.125673186,English
0.44555455,4569.871791,4212.078166,8046.270161,-25.45262,0.116077579,English
0.4769589,5224.45831,4380.229641,9309.122984,-24.88993,0.130367944,English
0.49823302,4151.256967,3924.290625,7471.615139,-14.930947,0.097254381,English
0.52364695,5232.562436,4484.525746,9555.603678,-19.31498,0.127316473,English
0.47899997,4674.511312,4071.780864,8491.871002,-16.40353,0.123333181,English
0.5590904,6026.015425,5019.498324,11235.5577,-20.632776,0.139484983,English
0.5102311,4808.148575,4446.995224,9066.664446,-18.059391,0.099329316,English
0.5271417,5438.576141,4608.843404,10102.11221,-17.637506,0.143429754,English
0.5615168,6476.21136,5266.295211,12014.992,-23.405125,0.152984034,English
0.51490086,5244.965529,4442.162893,9569.446295,-17.80733,0.140177322,English
