chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc,zero_crossing_rate,lang
0.3947415,4755.988562,3749.624053,9110.261643,-14.881166,0.141730168,Hindi
0.39353508,4274.601618,3739.425234,8173.062768,-17.109806,0.119593357,Hindi
0.52668136,2264.592481,2790.823169,4489.497173,-10.644171,0.050358983,Hindi
0.36927685,4293.356353,4183.908119,8812.599947,-21.821318,0.104956523,Hindi
0.39315963,4085.400607,3746.037956,8283.123662,-15.232463,0.105657998,Hindi
0.40957275,4923.571127,3876.538146,8686.965964,-21.326307,0.177020733,Hindi
0.53121394,2386.612513,2646.844602,4452.052489,-10.571654,0.059817299,Hindi
0.37447196,3339.849209,3641.771069,6598.203102,-17.08378,0.076450569,Hindi
0.4442381,1756.410987,2175.748945,3352.415685,-11.127943,0.04174857,Hindi
0.4092012,4617.303296,4005.30013,8835.489852,-18.786438,0.1428695,Hindi
0.3980468,5560.561951,4284.258018,10577.75853,-21.624535,0.166189491,Hindi
0.40120313,4393.892381,4111.646548,9239.222415,-16.658733,0.114575351,Hindi
0.49746326,5058.130402,4745.941452,10558.91858,-27.686388,0.140255405,Hindi
0.49532074,2094.068363,2544.701338,4105.297682,-9.642291,0.045145057,Hindi
0.5290333,2514.36486,2787.838955,4841.42347,-9.167795,0.065037703,Hindi
0.35381782,3627.528095,3697.938841,7533.332223,-14.552153,0.083729303,Hindi
0.45435998,5173.480886,4578.914661,10299.65203,-27.460522,0.145843441,Hindi
0.5534332,2002.963141,2738.095901,3966.156218,-10.496278,0.03741979,Hindi
0.4765263,6961.008527,4710.826269,12151.46922,-32.449425,0.240414487,Hindi
0.48033386,1933.230707,2583.176926,3939.973845,-10.406264,0.036989866,Hindi
0.48199457,2020.05296,2549.376018,3949.661276,-9.456245,0.044162706,Hindi
0.4848008,1803.534476,2187.456162,3520.472415,-9.538934,0.045004123,Hindi
0.39466074,4444.290012,3991.940986,9112.4197,-17.458187,0.12631951,Hindi
0.5349243,2391.656009,2825.517331,4896.017947,-9.994184,0.055898529,Hindi
0.39514816,4523.177085,4102.453592,8824.74347,-21.726206,0.122983367,Hindi
0.35766506,3660.501878,3668.023494,7517.890458,-16.800098,0.086985899,Hindi
0.36117908,3959.294997,4167.394454,8404.544074,-23.201635,0.087750145,Hindi
0.57751286,2244.034501,2949.206582,4600.375601,-10.70845,0.042095762,Hindi
0.54025537,2174.836394,3067.883326,4617.448181,-13.230375,0.034291845,Hindi
0.37498257,3417.691572,3513.620947,6821.761727,-15.272264,0.086476796,Hindi
0.51052916,2124.178668,2544.576348,4123.733883,-9.876393,0.047720671,Hindi
0.31663516,3059.338348,3243.490026,6064.715485,-14.787133,0.068907,Hindi
0.5818854,2053.932407,3006.687093,4377.112926,-13.2741375,0.031910147,Hindi
0.4204896,3965.790367,3792.054018,8042.77627,-14.69809,0.109041926,Hindi
0.5162717,1893.130093,2499.105464,3752.223096,-8.704028,0.041085865,Hindi
0.45177603,1780.900859,2160.371858,3382.545975,-11.743146,0.044482526,Hindi
0.4077117,4139.473899,3947.700166,8511.024491,-17.598454,0.110929763,Hindi
0.4589723,1366.480535,1886.77947,2574.963196,-8.0888,0.030340354,Hindi
0.40588534,3349.110426,3228.939058,6296.391924,-18.409634,0.090101946,Hindi
0.48742035,2087.557717,2588.806185,4150.612334,-8.952391,0.045957348,Hindi
0.41508496,3737.064426,3877.800943,7898.937233,-17.267948,0.082955757,Hindi
0.384852,4099.017618,4014.610991,8667.490712,-14.955605,0.105405012,Hindi
0.3988985,4811.412074,4267.6663,10086.65685,-18.389713,0.13151913,Hindi
0.39992058,4554.362746,3862.586701,8758.648956,-16.22694,0.127279343,Hindi
0.36538,4099.906347,3847.15724,7533.173783,-24.442556,0.136604327,Hindi
0.58178496,2691.952656,2937.722392,5684.518257,-13.771514,0.060885236,Hindi
