chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc,zero_crossing_rate,lang
0.45014358,2370.036467,2746.530002,4681.947868,-14.686008,0.05500358,Marathi
0.4188219,1766.234207,2098.560161,3313.402808,-14.200374,0.037974395,Marathi
0.41365108,2113.236074,2927.253696,4086.612257,-9.302833,0.046079702,Marathi
0.42600462,2331.789151,3027.834468,4527.368447,-8.165149,0.054475647,Marathi
0.54714805,1739.410725,1973.460146,3278.088196,-8.910707,0.044559062,Marathi
0.45051485,2350.202531,3186.471223,4836.136569,-10.921984,0.049071697,Marathi
0.39720058,1629.935868,2162.100981,3033.73201,-5.725094,0.029587345,Marathi
0.4623807,2325.149217,3133.865215,4749.200653,-10.016397,0.046012256,Marathi
0.3712861,2310.039468,3203.198131,4691.290581,-2.8510594,0.039236967,Marathi
0.44508976,1848.407047,2675.029037,3822.370182,-22.42606,0.022675279,Marathi
0.40225497,1788.573767,2748.974937,3129.341606,-8.961126,0.034807965,Marathi
0.42009965,2065.397694,2574.476253,4224.304851,-9.726465,0.039125943,Marathi
0.5217046,3335.379011,3367.989734,6770.661467,-19.592216,0.066344788,Marathi
0.4262669,2507.008848,3125.767115,5529.091943,-24.037415,0.025630061,Marathi
0.42971885,2147.025188,3073.120388,4425.647794,-9.911141,0.041179896,Marathi
0.36326352,2340.408656,3248.381134,4820.174893,-3.1852415,0.038973722,Marathi
0.48936263,2236.374532,2506.835699,4323.204627,-14.219525,0.055203098,Marathi
0.40480685,1596.773487,1936.318655,2856.413945,-6.9906793,0.037116694,Marathi
0.319292,1603.149788,1489.655333,3080.349973,-11.441914,0.042133339,Marathi
0.39581636,2136.258463,3002.258232,4199.074997,-9.699595,0.042247141,Marathi
0.44461802,2177.022989,2435.475915,4257.578895,-15.032954,0.052504396,Marathi
0.45517176,2231.510852,2555.514618,4360.148886,-13.977328,0.053833291,Marathi
0.43910888,1809.732792,2226.26609,3499.120411,-15.256083,0.038568528,Marathi
0.43616864,2473.164865,3107.310348,5038.919414,-10.503522,0.05866399,Marathi
0.42458788,2064.694405,2959.594264,4076.752349,-9.814807,0.040512547,Marathi
0.4418043,2436.800029,3176.173501,5355.293843,-24.456818,0.021965368,Marathi
0.41246507,2594.923012,3361.770161,5335.164786,-3.048777,0.049640789,Marathi
0.51556194,2923.039661,3720.764721,6700.766194,-25.06713,0.025365531,Marathi
0.38010505,2085.796106,2830.969135,4041.516199,-8.145041,0.040534173,Marathi
0.4679145,2619.77886,2881.765601,5019.996995,-15.34746,0.066559905,Marathi
0.52238715,1668.258039,1966.196547,3218.766729,-8.0257845,0.03961247,Marathi
0.5201554,1452.351172,1965.131414,2867.103854,-8.768754,0.032768168,Marathi
0.5976367,1874.380139,2194.620484,3690.58169,-11.290658,0.048685493,Marathi
0.46030468,2422.289162,3275.772714,5063.264177,-10.586465,0.04962144,Marathi
0.44136187,2864.501527,3478.275364,5885.13986,-3.078572,0.062865357,Marathi
0.47748852,3835.065324,4731.272135,8933.935235,-29.914888,0.024913796,Marathi
0.42863992,2941.371259,3200.041031,5789.263249,-11.060308,0.078349798,Marathi
0.5127297,1579.337148,2046.22608,3079.045102,-7.9581027,0.034527862,Marathi
0.46972016,2218.416833,2714.154325,4668.560101,-19.405416,0.03494074,Marathi
0.4292382,1958.959456,2799.383352,3791.449956,-9.227662,0.038429669,Marathi
0.3104064,1843.594751,1539.777021,3489.979256,-8.954042,0.055667199,Marathi
0.42548162,2469.131067,3206.027532,5211.938647,-9.959813,0.050658326,Marathi
0.52889425,2815.625319,3721.889952,6356.581237,-25.256483,0.025882043,Marathi
0.42812863,2886.160272,3439.898015,5982.233586,-3.9035568,0.064166501,Marathi
0.3663516,2430.665472,3232.700831,4781.625942,-2.6858861,0.04505049,Marathi
0.43725312,1879.138814,2294.717034,3501.981466,-16.149555,0.04748962,Marathi
